Name,Jutsu,Appears In,Sex,Classification,Clan,Tools,Occupation,Team,Affiliation,Nature Type,Images
Kanpu,,Anime;Manga,Male,,,,Caretaker,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/1/19/Kanpu.png/revision/latest/scale-to-width-down/300?cb=20141107152405
Kanyu,,,Female,,,,,,Ceramic Village,,
Kaori,,Anime;Manga,Female,,,,Nurse,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/b/b8/Kaori.png/revision/latest/scale-to-width-down/300?cb=20150130100151
Karai,Lightning Strike,Anime,Male,,,,,,Kumogakure,Lightning Release,https://static.wikia.nocookie.net/naruto/images/c/cd/Karai.png/revision/latest/scale-to-width-down/300?cb=20210923205926
Karashi,,Anime,Male,,,,Assistant Chef,Kurosuki Family,Land of Rivers,,https://static.wikia.nocookie.net/naruto/images/a/a4/Karashi.png/revision/latest/scale-to-width-down/300?cb=20150602202657
Karasuki,,Anime,,,,,,,otsutsuki Clan,,https://static.wikia.nocookie.net/naruto/images/a/ad/Karasuki.png/revision/latest/scale-to-width-down/300?cb=20191014024647
Kagura Karatachi,Prisoner Cursed Seal ;Water Release: Clear Mirror Still Water ,Anime;Novel,Male,,Karatachi Family,Hiramekarei ,Mizukage's Assistant,New Seven Ninja Swordsmen,Kirigakure,Water Release  ,https://static.wikia.nocookie.net/naruto/images/4/4a/Kagura_Karatachi.png/revision/latest/scale-to-width-down/300?cb=20220206063301
Yagura Karatachi,Coral Palm;Leaping Bullet Shell Tower;Shadow Stroke;Tailed Beast Ball ;Water Release: Water Mirror Technique;Wind Release: Passing Typhoon ,Anime;Manga;Novel;Game,Male,Jinchuriki,Karatachi Family  ,Club,Mizukage,,Kirigakure,Water Release,https://static.wikia.nocookie.net/naruto/images/e/e0/Yagura.png/revision/latest/scale-to-width-down/300?cb=20220206065510
Karenbana,Hundred Blooming Flowers Technique,Novel;Movie,Female,Mercenary Ninja,,Odourless Poison Mist,,Wandering Ninja Clan,Land of the Moon,Yin Release,https://static.wikia.nocookie.net/naruto/images/0/00/Karenbana.png/revision/latest/scale-to-width-down/300?cb=20160123114250
Karin,Adamantine Attacking Chains;Chakra Suppression Technique;Chakra Transfer Technique;Heal Bite;Mind's Eye of the Kagura;Mystical Palm Technique ,Anime;Manga;Novel;Game,Female,Sensor Type,Uzumaki,Naruto Mobile20162016,,Team Shigeri,Kusagakure,Earth Release,https://static.wikia.nocookie.net/naruto/images/7/72/Karin3.png/revision/latest/scale-to-width-down/300?cb=20170906102126
Karin Kagura,,Game,Female,,,,Shop Owner,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/6/62/Karin_Kagura_image.jpg/revision/latest?cb=20170519115456
Karin's Mother,,,Female,,Uzumaki,,,,Kusagakure,,https://static.wikia.nocookie.net/naruto/images/e/ee/Karin%27s_Mother.png/revision/latest/scale-to-width-down/300?cb=20150924155116
Karui,Cloud-Style Front Beheading ,Anime;Manga;Novel;Game;Movie,Female,,Akimichi,Sword,,Team Samui,Kumogakure,Lightning Release  ,https://static.wikia.nocookie.net/naruto/images/c/c3/Karui.png/revision/latest/scale-to-width-down/300?cb=20170714025704
Karura,,Anime;Manga,Female,,Kazekage   ,,,,Sunagakure,,https://static.wikia.nocookie.net/naruto/images/4/49/Karura.png/revision/latest/scale-to-width-down/300?cb=20150514121624
Karyu,Earth Release: Earth-Style Wall;Earth Release: Multiple Earth-Style Wall;Lava Release: Rubber Ball;Lava Release: Rubber Wall,Anime;Novel,Male,Missing-nin,,,Leader of the Dark Thunder Group  ,Dark Thunder Group  ,Land of Lightning,Lava Release,https://static.wikia.nocookie.net/naruto/images/f/fe/Kary%C5%AB.png/revision/latest/scale-to-width-down/300?cb=20161215123932
Kashike,,Anime;Manga,Male,,,,,,Sunagakure,,https://static.wikia.nocookie.net/naruto/images/5/5a/Kashike_new.png/revision/latest/scale-to-width-down/300?cb=20220224035358
